ts,c_out_4_0,c_out_4_1,c_out_4_2,c_out_4_3,c_out_4_4,c_out_4_5,c_out_4_6,c_out_4_7,c_out_4_8,c_out_4_9,c_out_4_10,c_out_4_11,c_out_4_12,v_out_4_0,v_out_4_1,v_out_4_2,v_out_4_3,v_out_4_4,v_out_4_5,v_out_4_6,v_out_4_7,v_out_4_8,v_out_4_9,v_out_4_10,v_out_4_11,v_out_4_12,out_en_4_0,out_en_4_1,out_en_4_2,out_en_4_3,out_en_4_4,out_en_4_5,out_en_4_6,out_en_4_7,out_en_4_8,out_en_4_9,out_en_4_10,out_en_4_11,out_en_4_12,temp_4_0,temp_4_1,bootcause_4,bootcnt_4,uptime_4,resetcause_4,batt_mode_4,heater_on_4,conv_5v_en_4,latchup_4_0,latchup_4_1,latchup_4_2,latchup_4_3,latchup_4_4,latchup_4_5,latchup_4_6,latchup_4_7,latchup_4_8,latchup_4_9,latchup_4_10,latchup_4_11,latchup_4_12,vbat_v_4,vcc_c_4,batt_c_4,batt_v_4,batt_temp_4_0,batt_temp_4_1,device_type_4_0,device_type_4_1,device_type_4_2,device_type_4_3,device_type_4_4,device_type_4_5,device_type_4_6,device_type_4_7,device_status_4_0,device_status_4_1,device_status_4_2,device_status_4_3,device_status_4_4,device_status_4_5,device_status_4_6,device_status_4_7,dearm_status_4,wdt_cnt_gnd_4,wdt_cnt_i2c_4,wdt_cnt_can_4,wdt_cnt_csp_4_0,wdt_cnt_csp_4_1,wdt_gnd_left_4,wdt_i2c_left_4,wdt_can_left_4,wdt_csp_left_4_0,wdt_csp_left_4_1,batt_chrg_4,batt_dischrg_4,ant6_depl_4,ar6_depl_4
1722572820,8,7,5,3,0,8,13,-1,-3,0,0,16,13,0,366,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,297,291,2,113,1415161,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16158,-143,-74,16177,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,2,0,0,0,0,152439,0,0,5,5,501,575,3,3
1722573420,114,162,0,81,79,-7,3,96,3,6,0,13,13,5017,3377,491,3392,3392,1012,0,3392,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,1,287,282,2,109,2988290,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,16097,-143,-585,16097,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,36,0,0,3250,1150,151831,0,0,5,5,-1,584,3,3
1722574020,47,55,54,56,3,139,343,2,-9,3,0,13,16,0,0,0,0,16076,16055,16056,16061,274,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,262,256,2,103,12588010,0,3,0,1,0,6,0,6,0,0,0,0,0,0,0,0,0,16051,-145,-583,16065,0,0,7,1,1,3,3,3,4,0,1,1,1,1,1,1,1,0,1,36,0,20,20,20,151240,0,590,5,5,-1,582,3,3
1722574620,9,13,7,578,0,7,5,187,253,3,3,16,16,0,0,0,5029,0,0,0,5032,5016,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,230,226,2,103,12588610,0,3,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,16020,-143,-587,16032,0,0,7,1,1,3,3,3,4,0,1,1,1,1,1,1,1,0,1,36,0,0,0,0,150640,0,0,5,5,-1,586,3,3
1722575220,50,58,56,56,0,142,331,-1,-9,3,3,16,16,0,0,0,0,16000,15979,15979,15970,274,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,197,193,2,103,12589209,0,3,0,1,0,6,0,6,0,0,0,0,0,0,0,0,0,15974,-145,-579,15979,0,0,7,1,1,3,3,3,4,0,1,1,1,1,1,1,1,0,1,36,0,20,20,20,150041,0,581,5,5,-2,577,3,3
1722575820,8,10,8,6,0,11,16,2,0,6,6,19,16,0,366,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,205,198,2,113,1418161,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16081,-145,405,16078,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,2,0,0,0,0,149439,0,0,5,5,981,576,3,3
1722576420,8,7,8,6,3,11,16,2,0,6,6,19,19,0,366,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,255,247,2,113,1418761,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16189,-145,922,16192,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,2,0,0,0,0,148839,0,0,5,5,1500,578,3,3
1722577020,11,7,5,3,0,11,16,2,0,3,3,19,16,0,366,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,290,281,2,113,1419360,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16204,-143,675,16205,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,2,0,0,0,0,148240,0,0,5,5,1246,571,3,3
1722577620,8,7,5,3,0,8,13,2,-3,3,3,16,16,0,366,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,315,308,2,113,1419961,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16204,-145,532,16214,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,2,0,0,0,0,147639,0,0,5,5,1117,585,3,3
1722578220,8,7,8,3,-3,8,13,-1,0,3,0,13,10,0,366,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,327,320,2,113,1420561,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16204,-143,420,16220,0,0,7,2,2,4,0,0,0,0,1,1,1,1,0,0,0,0,1,2,0,0,0,0,147039,0,0,5,5,1001,581,3,3
